,Airline,Flight Number,Date of Departure,From,To,Duration,Total Stops,Price
19,Air Asia,I5-784/818,"Sun, Mar 6",Mumbai,Goa,14h 55m,1 Stop,"3,706"
20,Air Asia,I5-740/1530,"Wed, Feb 16",New Delhi,Chennai,7h 05m,1 Stop,"1,998"
21,Air Asia,I5-740/2461,"Wed, Feb 16",Goa,Chennai,9h 25m,1 Stop,"1,998"
22,Air Asia,I5-710/1531,"Wed, Feb 16",New Delhi,Chennai,9h 30m,1 Stop,"1,998"
23,Air Asia,I5-829/510,"Wed, Feb 16",Goa,Chennai,11h 35m,2 Stop(s),"1,998"
24,Vistara,UK-833,"Wed, Feb 16",New Delhi,Chennai,2h 45m,Non Stop,"2,049"
25,Air India,AI-439,"Wed, Feb 16",Goa,Chennai,2h 50m,Non Stop,"2,343"
26,IndiGo,6E-6238,"Wed, Feb 16",New Delhi,Chennai,2h 50m,Non Stop,"2,343"
27,Air India,AI-429,"Wed, Feb 16",Goa,Chennai,2h 50m,Non Stop,"2,343"
28,IndiGo,6E-2162,"Wed, Feb 16",New Delhi,Chennai,2h 50m,Non Stop,"2,343"
29,IndiGo,6E-2061,"Wed, Feb 16",Goa,Chennai,2h 50m,Non Stop,"2,343"
30,IndiGo,6E-2338/471,"Thu, Feb 24",New Delhi,Hyderabad,6h 55m,1 Stop,"2,049"
31,IndiGo,6E-2479/7137,"Thu, Feb 24",Goa,Hyderabad,7h 00m,1 Stop,"2,049"
32,IndiGo,6E-369/752,"Thu, Feb 24",New Delhi,Hyderabad,9h 15m,1 Stop,"2,049"
33,Air India,AI-839,"Thu, Feb 24",Goa,Hyderabad,2h 10m,Non Stop,"2,098"
34,IndiGo,6E-2331,"Thu, Feb 24",New Delhi,Hyderabad,2h 15m,Non Stop,"2,098"
35,IndiGo,6E-2005,"Thu, Feb 24",Goa,Hyderabad,2h 15m,Non Stop,"2,098"
36,IndiGo,6E-2147,"Thu, Feb 24",New Delhi,Hyderabad,2h 15m,Non Stop,"2,098"
37,Air India,AI-560,"Thu, Feb 24",Goa,Hyderabad,2h 20m,Non Stop,"2,098"
38,IndiGo,6E-6205,"Thu, Feb 24",New Delhi,Hyderabad,2h 20m,Non Stop,"2,098"
39,IndiGo,6E-2348,"Thu, Feb 24",Goa,Hyderabad,2h 20m,Non Stop,"2,098"
40,Air Asia,I5-548,"Sat, Mar 26",New Delhi,Kolkata,2h 10m,Non Stop,"2,481"
41,Air Asia,I5-829,"Sat, Mar 26",Chennai,Kolkata,2h 10m,Non Stop,"2,903"
42,Go First,G8-101,"Sat, Mar 26",New Delhi,Kolkata,2h 05m,Non Stop,"3,000"
43,Go First,G8-188/163,"Sat, Mar 26",Chennai,Kolkata,4h 55m,1 Stop,"3,087"
44,Go First,G8-268/163,"Sat, Mar 26",New Delhi,Kolkata,9h 35m,1 Stop,"3,087"
45,Air Asia,I5-550,"Sat, Mar 26",Chennai,Kolkata,2h 25m,Non Stop,"3,414"
46,Air India,AI-762,"Sat, Mar 26",New Delhi,Kolkata,2h 05m,Non Stop,"3,428"
47,Air India,AI-401,"Sat, Mar 26",Chennai,Kolkata,2h 10m,Non Stop,"3,428"
48,Air India,AI-560/780,"Sat, Mar 26",New Delhi,Kolkata,8h 55m,2 Stop(s),"3,610"
49,Air India,AI-560/525,"Sat, Mar 26",Chennai,Kolkata,25h 00m,1 Stop,"3,610"
50,Air India,AI-407,"Sun, Apr 17",New Delhi,Patna,1h 35m,Non Stop,"2,190"
51,IndiGo,6E-6752,"Sun, Apr 17",Chennai,Patna,1h 35m,Non Stop,"2,190"
52,IndiGo,6E-2022,"Sun, Apr 17",New Delhi,Patna,1h 40m,Non Stop,"2,190"
53,IndiGo,6E-5003,"Sun, Apr 17",Chennai,Patna,1h 40m,Non Stop,"2,190"
54,IndiGo,6E-5336,"Sun, Apr 17",New Delhi,Patna,1h 40m,Non Stop,"2,190"
55,IndiGo,6E-2043,"Sun, Apr 17",Chennai,Patna,1h 40m,Non Stop,"2,190"
56,IndiGo,6E-761,"Sun, Apr 17",New Delhi,Patna,1h 40m,Non Stop,"2,190"
57,Air India,AI-415,"Sun, Apr 17",Chennai,Patna,1h 40m,Non Stop,"2,190"
58,IndiGo,6E-2323,"Sun, Apr 17",New Delhi,Patna,1h 40m,Non Stop,"2,190"
59,IndiGo,6E-5022,"Sun, Apr 17",Chennai,Patna,1h 40m,Non Stop,"2,190"
60,IndiGo,6E-2517/2106,"Sat, Apr 16",New Delhi,Port Blair,12h 25m,1 Stop,"5,873"
61,Go First,G8-103/101,"Sat, Apr 16",Hyderabad,Port Blair,15h 35m,1 Stop,"5,878"
62,Vistara,UK-727/747,"Sat, Apr 16",New Delhi,Port Blair,15h 05m,1 Stop,"6,031"
63,Vistara,UK-707/747,"Sat, Apr 16",Hyderabad,Port Blair,18h 05m,1 Stop,"6,031"
64,Vistara,UK-737/747,"Sat, Apr 16",New Delhi,Port Blair,19h 40m,1 Stop,"6,031"
65,Vistara,UK-705/747,"Sat, Apr 16",Hyderabad,Port Blair,28h 05m,1 Stop,"6,031"
66,SpiceJet,SG-8207/611,"Sat, Apr 16",New Delhi,Port Blair,15h 50m,1 Stop,"6,953"
67,IndiGo,6E-2336/6595,"Sat, Apr 16",Hyderabad,Port Blair,6h 20m,1 Stop,"7,139"
68,IndiGo,6E-2147/6305,"Sat, Apr 16",New Delhi,Port Blair,12h 35m,1 Stop,"7,256"
69,IndiGo,6E-2094,"Sat, Apr 16",Hyderabad,Port Blair,3h 55m,Non Stop,"7,740"
70,SpiceJet,SG-8185,"Wed, Mar 2",New Delhi,Pune,2h 20m,Non Stop,"2,244"
71,SpiceJet,SG-8938,"Wed, Mar 2",Hyderabad,Pune,2h 20m,Non Stop,"2,244"
72,Air Asia,I5-768,"Wed, Mar 2",New Delhi,Pune,2h 00m,Non Stop,"2,246"
73,IndiGo,6E-2471,"Wed, Mar 2",Hyderabad,Pune,2h 05m,Non Stop,"2,246"
74,IndiGo,6E-2769,"Wed, Mar 2",New Delhi,Pune,2h 05m,Non Stop,"2,246"
75,Go First,G8-7549,"Wed, Mar 2",Hyderabad,Pune,2h 05m,Non Stop,"2,246"
76,Air Asia,I5-737,"Wed, Mar 2",New Delhi,Pune,2h 05m,Non Stop,"2,246"
77,IndiGo,6E-2616,"Wed, Mar 2",Hyderabad,Pune,2h 10m,Non Stop,"2,246"
78,IndiGo,6E-186,"Wed, Mar 2",New Delhi,Pune,2h 15m,Non Stop,"2,246"
79,IndiGo,6E-2753,"Wed, Mar 2",Hyderabad,Pune,2h 35m,Non Stop,"2,246"
80,Air Asia,I5-783,"Tue, Feb 22",New Delhi,Guwahati,2h 10m,Non Stop,"2,900"
81,IndiGo,6E-2751,"Tue, Feb 22",Kolkata,Guwahati,2h 10m,Non Stop,"2,900"
82,IndiGo,6E-889,"Tue, Feb 22",New Delhi,Guwahati,2h 10m,Non Stop,"2,900"
83,IndiGo,6E-251,"Tue, Feb 22",Kolkata,Guwahati,2h 20m,Non Stop,"2,900"
84,IndiGo,6E-5031,"Tue, Feb 22",New Delhi,Guwahati,2h 20m,Non Stop,"2,900"
85,Air Asia,I5-792,"Tue, Feb 22",Kolkata,Guwahati,2h 20m,Non Stop,"2,900"
86,IndiGo,6E-2001,"Tue, Feb 22",New Delhi,Guwahati,2h 20m,Non Stop,"2,900"
87,Air Asia,I5-776,"Tue, Feb 22",Kolkata,Guwahati,2h 25m,Non Stop,"2,900"
88,Air Asia,I5-787,"Tue, Feb 22",New Delhi,Guwahati,2h 30m,Non Stop,"2,900"
89,Air Asia,I5-744/820,"Tue, Feb 22",Kolkata,Guwahati,9h 05m,2 Stop(s),"2,900"
90,IndiGo,6E-171,"Sun, Mar 13",New Delhi,Mumbai,5h 20m,1 Stop,"2,410"
91,IndiGo,6E-6202,"Sun, Mar 13",Kolkata,Mumbai,3h 50m,1 Stop,"2,410"
92,Air Asia,I5-764,"Sun, Mar 13",New Delhi,Mumbai,,,"2,410"
93,IndiGo,6E-2054,"Sun, Mar 13",Kolkata,Mumbai,3h 55m,,"2,410"
94,IndiGo,6E-5001,"Sun, Mar 13",New Delhi,Mumbai,3h 45m,1 Stop,"2,410"
95,IndiGo,6E-5329,"Sun, Mar 13",Kolkata,Mumbai,3h 50m,1 Stop,"2,410"
96,IndiGo,6E-6278,"Sun, Mar 13",New Delhi,Mumbai,,1 Stop,"2,410"
97,IndiGo,6E-218,"Sun, Mar 13",Kolkata,Mumbai,3h 20m,,"2,410"
98,IndiGo,6E-5328,"Sun, Mar 13",New Delhi,Mumbai,,,"2,410"
99,Air Asia,I5-482,"Sun, Mar 13",Kolkata,Mumbai,3h 50m,,"2,410"
100,IndiGo,6E-2172/6636,"Sun, Feb 20",New Delhi,Chandigarh,7h 20m,1 Stop,"3,253"
101,IndiGo,6E-6201/6636,"Sun, Feb 20",Patna,Chandigarh,,2 Stops,"3,253"
102,IndiGo,6E-5047/6636,"Sun, Feb 20",New Delhi,Chandigarh,,1 Stop,"3,253"
103,IndiGo,6E-2047/6636,"Sun, Feb 20",Patna,Chandigarh,9h 25m,2 Stops,"3,253"
104,IndiGo,6E-2172/6171,"Sun, Feb 20",New Delhi,Chandigarh,4h 35m,,"3,253"
105,IndiGo,6E-5332/6636,"Sun, Feb 20",Patna,Chandigarh,11h 35m,1 Stop,"3,253"
106,IndiGo,6E-6201/6171,"Sun, Feb 20",New Delhi,Chandigarh,10h 15m,2 Stops,"3,253"
107,IndiGo,6E-5047/6171,"Sun, Feb 20",Patna,Chandigarh,,2 Stops,"3,253"
108,IndiGo,6E-5308/6636,"Sun, Feb 20",New Delhi,Chandigarh,,1 Stop,"3,253"
109,IndiGo,6E-2047/6171,"Sun, Feb 20",Patna,Chandigarh,,2 Stops,"3,253"
110,Air Asia,I5-336/722,"Wed, Mar 2",New Delhi,New Delhi,32h 15m,2 Stops,"2,336"
111,Air Asia,I5-942/996,"Wed, Mar 2",Patna,New Delhi,33h 26m,2 Stops,"2,336"
112,Air Asia,I5-942/749,"Wed, Mar 2",New Delhi,New Delhi,39h 40m,2 Stops,"2,336"
113,IndiGo,6E-6201,"Wed, Mar 2",Patna,New Delhi,28h 34m,,"2,339"
114,IndiGo,6E-6721,"Wed, Mar 2",New Delhi,New Delhi,,,"2,339"
115,IndiGo,6E-2172,"Wed, Mar 2",Patna,New Delhi,25h 30m,2 Stops,"2,339"
116,IndiGo,6E-5017,"Wed, Mar 2",New Delhi,New Delhi,36h 19m,1 Stop,"2,339"
117,IndiGo,6E-2077,"Wed, Mar 2",Patna,New Delhi,36h 19m,2 Stops,"2,339"
118,IndiGo,6E-2047,"Wed, Mar 2",New Delhi,New Delhi,25h 30m,,"2,339"
119,IndiGo,6E-168,"Wed, Mar 2",Patna,New Delhi,28h 03m,,"2,339"
120,Air India,AI-683,"Thu, Mar 10",New Delhi,Goa,32h 06m,2 Stops,"1,890"
121,Go First,G8-382,"Thu, Mar 10",Port Blair,Goa,33h 26m,1 Stop,"1,998"
122,Go First,G8-575,"Thu, Mar 10",New Delhi,Goa,46h 40m,,"1,998"
123,Go First,G8-384,"Thu, Mar 10",Port Blair,Goa,,,"1,998"
124,Go First,G8-371,"Thu, Mar 10",New Delhi,Goa,,1 Stop,"1,998"
125,Air Asia,I5-471,"Thu, Mar 10",Port Blair,Goa,22h 40m,1 Stop,"2,000"
126,Air Asia,I5-620,"Thu, Mar 10",New Delhi,Goa,25h 50m,,"2,000"
127,IndiGo,6E-5202,"Thu, Mar 10",Port Blair,Goa,24h 55m,,"2,000"
128,IndiGo,6E-5206,"Thu, Mar 10",New Delhi,Goa,,,"2,000"
129,IndiGo,6E-5221,"Thu, Mar 10",Port Blair,Goa,,,"2,000"
130,Air Asia,I5-942/1562,"Mon, Feb 21",New Delhi,Kolkata,15h 15m,2 Stops,"2,833"
131,Air Asia,I5-942/1321,"Mon, Feb 21",Port Blair,Kolkata,25h 50m,2 Stops,"2,833"
132,Air Asia,I5-330/548,"Mon, Feb 21",New Delhi,Kolkata,,2 Stops,"2,833"
133,Air Asia,I5-423/992,"Mon, Feb 21",Port Blair,Kolkata,,,"2,833"
134,Air Asia,I5-767/550,"Mon, Feb 21",New Delhi,Kolkata,21h 20m,,"2,833"
135,IndiGo,6E-5338/503,"Mon, Feb 21",Port Blair,Kolkata,14h 35m,2 Stops,"2,834"
136,IndiGo,6E-312/394,"Mon, Feb 21",New Delhi,Kolkata,,1 Stop,"2,834"
137,IndiGo,6E-5209/6358,"Mon, Feb 21",Port Blair,Kolkata,,2 Stops,"2,834"
138,IndiGo,6E-5338/6326,"Mon, Feb 21",New Delhi,Kolkata,,,"2,834"
139,IndiGo,6E-6463/503,"Mon, Feb 21",Port Blair,Kolkata,,,"2,834"
140,SpiceJet,SG-8152/3765,"Wed, Mar 16",New Delhi,Dehradun,32h 06m,2 Stops,"3,503"
141,SpiceJet,SG-8702/2033,"Wed, Mar 16",Pune,Dehradun,33h 26m,,"3,503"
142,SpiceJet,SG-8710/2770,"Wed, Mar 16",New Delhi,Dehradun,46h 40m,,"3,503"
143,SpiceJet,SG-8152/2033,"Wed, Mar 16",Pune,Dehradun,,1 Stop,"3,503"
144,SpiceJet,SG-8158/2770,"Wed, Mar 16",New Delhi,Dehradun,,1 Stop,"3,503"
145,SpiceJet,SG-8710/3765,"Wed, Mar 16",Pune,Dehradun,22h 40m,1 Stop,"3,503"
146,SpiceJet,SG-8158/3765,"Wed, Mar 16",New Delhi,Dehradun,25h 50m,1 Stop,"3,503"
147,SpiceJet,SG-8702/2770,"Wed, Mar 16",Pune,Dehradun,24h 55m,1 Stop,"3,503"
148,SpiceJet,SG-8158/2033,"Wed, Mar 16",New Delhi,Dehradun,,1 Stop,"3,503"
149,SpiceJet,SG-8152/2770,"Wed, Mar 16",Pune,Dehradun,,1 Stop,"3,503"
150,Air Asia,I5-330/740,"Mon, Feb 21",New Delhi,Bangalore,25h 40m,,"5,099"
151,Air Asia,I5-767/747,"Mon, Feb 21",Pune,Bangalore,,,"5,099"
152,Air Asia,I5-330/1529,"Mon, Feb 21",New Delhi,Bangalore,,,"5,099"
153,Air Asia,I5-620/1518,"Mon, Feb 21",Pune,Bangalore,30h 25m,1 Stop,"5,099"
154,SpiceJet,SG-475/3028,"Mon, Feb 21",New Delhi,Bangalore,33h 35m,1 Stop,"5,100"
155,SpiceJet,SG-455/3028,"Mon, Feb 21",Pune,Bangalore,24h 45m,1 Stop,"5,100"
156,Go First,G8-317,"Mon, Feb 21",New Delhi,Bangalore,27h 15m,1 Stop,"5,102"
157,Go First,G8-383,"Mon, Feb 21",Pune,Bangalore,36h 50m,,"5,102"
158,Go First,G8-7545,"Mon, Feb 21",New Delhi,Bangalore,12h 25m,2 Stops,"5,102"
159,Go First,G8-7546,"Mon, Feb 21",Pune,Bangalore,40h 00m,2 Stops,"5,102"
160,IndiGo,6E-5398,"Thu, Mar 10",New Delhi,Coimbatore,4h 20m,2 Stops,"2,600"
161,IndiGo,6E-878,"Thu, Mar 10",Guwahati,Coimbatore,8h 55m,,"2,600"
162,IndiGo,6E-5307/881,"Thu, Mar 10",New Delhi,Coimbatore,,2 Stops,"2,600"
163,IndiGo,6E-219/6875,"Thu, Mar 10",Guwahati,Coimbatore,,2 Stops,"2,600"
164,IndiGo,6E-5366/6992,"Thu, Mar 10",New Delhi,Coimbatore,,,"2,600"
165,IndiGo,6E-354/762,"Thu, Mar 10",Guwahati,Coimbatore,7h 40m,,"2,600"
166,IndiGo,6E-5338/6992,"Thu, Mar 10",New Delhi,Coimbatore,18h 25m,,"2,600"
167,IndiGo,6E-5312/762,"Thu, Mar 10",Guwahati,Coimbatore,10h 35m,1 Stop,"2,600"
168,IndiGo,6E-6463/6992,"Thu, Mar 10",New Delhi,Coimbatore,12h 15m,2 Stops,"2,600"
169,IndiGo,6E-5307/6002,"Thu, Mar 10",Guwahati,Coimbatore,,,"2,600"
170,Air Asia,I5-942/991,"Fri, Feb 4",New Delhi,Kochi,40h 53m,2 Stops,"2,159"
171,Air Asia,I5-942/1427,"Fri, Feb 4",Guwahati,Kochi,34h 56m,,"2,159"
172,Air Asia,I5-336/1451,"Fri, Feb 4",New Delhi,Kochi,25h 19m,,"2,159"
173,IndiGo,6E-6301,"Fri, Feb 4",Guwahati,Kochi,,Non Stop,"2,163"
174,Go First,G8-7557,"Fri, Feb 4",New Delhi,Kochi,25h 19m,Non Stop,"2,163"
175,IndiGo,6E-5396,"Fri, Feb 4",Guwahati,Kochi,24h 39m,Non Stop,"2,163"
176,Go First,G8-336,"Fri, Feb 4",New Delhi,Kochi,,Non Stop,"2,163"
177,Air Asia,I5-423,"Fri, Feb 4",Guwahati,Kochi,,Non Stop,"2,166"
178,Air India,AI-681,"Fri, Feb 4",New Delhi,Kochi,,Non Stop,"2,166"
179,IndiGo,6E-5338/703,"Fri, Feb 4",Guwahati,Kochi,29h 20m,Non Stop,"2,997"
180,IndiGo,6E-6029,-,New Delhi,Jaipur,30h 55m,Non Stop,"2,024"
181,IndiGo,6E-6515,"Thu, Feb 10",Mumbai,Jaipur,,Non Stop,"2,024"
182,Air Asia,I5-941,"Thu, Feb 10",New Delhi,Jaipur,39h 55m,Non Stop,"2,024"
183,Air Asia,I5-678,"Thu, Feb 10",Mumbai,Jaipur,,1 Stop,"2,024"
184,SpiceJet,SG-236,"Thu, Feb 10",New Delhi,Jaipur,,1 Stop,"2,025"
185,SpiceJet,SG-276,"Thu, Feb 10",Mumbai,Jaipur,2h 05m,1 Stop,"2,025"
186,Air India,AI-611,"Thu, Feb 10",New Delhi,Jaipur,2h 05m,1 Stop,"2,030"
187,IndiGo,6E-154/6098,"Thu, Feb 10",Mumbai,Jaipur,2h 10m,1 Stop,"2,114"
188,IndiGo,6E-6084/7106,"Thu, Feb 10",New Delhi,Jaipur,2h 10m,1 Stop,"2,114"
189,IndiGo,6E-6084/645,"Thu, Feb 10",Mumbai,Jaipur,2h 10m,1 Stop,"2,114"
190,SpiceJet,SG-201,"Thu, Feb 10",New Delhi,Varanasi,2h 10m,1 Stop,"3,400"
191,IndiGo,6E-5349,"Wed, Feb 16",Mumbai,Varanasi,2h 10m,1 Stop,"3,402"
192,IndiGo,6E-6784,"Wed, Feb 16",New Delhi,Varanasi,2h 10m,1 Stop,"3,402"
193,Go First,G8-349,"Wed, Feb 16",Mumbai,Varanasi,2h 15m,1 Stop,"3,402"
194,Air India,AI-625,"Wed, Feb 16",New Delhi,Varanasi,2h 15m,1 Stop,"3,402"
195,Vistara,UK-621,"Wed, Feb 16",Mumbai,Varanasi,6h 25m,1 Stop,"3,403"
196,SpiceJet,SG-8702/3741,"Wed, Feb 16",New Delhi,Varanasi,7h 15m,Non Stop,"3,422"
197,SpiceJet,SG-8152/3741,"Wed, Feb 16",Mumbai,Varanasi,8h 00m,Non Stop,"3,422"
198,SpiceJet,SG-8702/2950,"Wed, Feb 16",New Delhi,Varanasi,8h 45m,Non Stop,"3,422"
199,SpiceJet,SG-8152/2950,"Wed, Feb 16",Mumbai,Varanasi,8h 50m,Non Stop,"3,422"
200,IndiGo,6E-426/6117,"Wed, Feb 16",Mumbai,Jaipur,9h 40m,Non Stop,"2,646"
201,IndiGo,6E-528/6117,"Sun, Mar 27",Chandigarh,Jaipur,9h 40m,Non Stop,"2,646"
202,IndiGo,6E-276,"Sun, Mar 27",Mumbai,Jaipur,10h 25m,Non Stop,"3,294"
203,IndiGo,6E-838,"Sun, Mar 27",Chandigarh,Jaipur,10h 45m,Non Stop,"3,294"
204,IndiGo,6E-415,"Sun, Mar 27",Mumbai,Jaipur,11h 10m,Non Stop,"3,294"
205,IndiGo,6E-586/7309,"Sun, Mar 27",Chandigarh,Jaipur,7h 10m,Non Stop,"3,294"
206,IndiGo,6E-484/913,"Sun, Mar 27",Mumbai,Jaipur,9h 10m,Non Stop,"3,294"
207,IndiGo,6E-6257/913,"Sun, Mar 27",Chandigarh,Jaipur,12h 15m,Non Stop,"3,294"
208,IndiGo,6E-6353/7321,"Sun, Mar 27",Mumbai,Jaipur,1h 55m,Non Stop,"3,294"
209,IndiGo,6E-5365/5382,"Sun, Mar 27",Chandigarh,Jaipur,2h 05m,Non Stop,"3,294"
210,IndiGo,6E-855/2349,"Sun, Mar 27",Mumbai,New Delhi,2h 10m,Non Stop,"2,927"
211,IndiGo,6E-6491/643,"Fri, Feb 18",Chandigarh,New Delhi,2h 10m,Non Stop,"2,927"
212,IndiGo,6E-638/2349,"Fri, Feb 18",Mumbai,New Delhi,2h 10m,Non Stop,"2,927"
213,IndiGo,6E-6067/6684,"Fri, Feb 18",Chandigarh,New Delhi,2h 15m,2 Stop(s),"2,927"
214,IndiGo,6E-6067/2349,"Fri, Feb 18",Mumbai,New Delhi,2h 15m,1 Stop,"2,927"
215,IndiGo,6E-886/643,"Fri, Feb 18",Chandigarh,New Delhi,1h 35m,1 Stop,"2,927"
216,IndiGo,6E-6491/6684,"Fri, Feb 18",Mumbai,New Delhi,1h 10m,2 Stop(s),"2,927"
217,IndiGo,6E-6104/2481,"Fri, Feb 18",Chandigarh,New Delhi,1h 15m,1 Stop,"2,954"
218,IndiGo,6E-528/2369,"Fri, Feb 18",Mumbai,New Delhi,1h 20m,1 Stop,"2,954"
219,IndiGo,6E-6104/587,"Fri, Feb 18",Chandigarh,New Delhi,1h 25m,1 Stop,"2,954"
220,IndiGo,6E-196,"Fri, Feb 18",Mumbai,Lucknow,1h 00m,1 Stop,"3,016"
221,IndiGo,6E-6353,"Mon, Feb 21",New Delhi,Lucknow,1h 10m,1 Stop,"3,016"
222,IndiGo,6E-451,"Mon, Feb 21",Mumbai,Lucknow,1h 10m,1 Stop,"3,016"
223,IndiGo,6E-2186/546,"Mon, Feb 21",New Delhi,Lucknow,1h 10m,1 Stop,"3,016"
224,IndiGo,6E-6753/7076,"Mon, Feb 21",Mumbai,Lucknow,1h 10m,1 Stop,"3,016"
225,IndiGo,6E-708/546,"Mon, Feb 21",New Delhi,Lucknow,6h 10m,1 Stop,"3,016"
226,IndiGo,6E-2186/943,"Mon, Feb 21",Mumbai,Lucknow,8h 00m,1 Stop,"3,016"
227,IndiGo,6E-484/866,"Mon, Feb 21",New Delhi,Lucknow,8h 15m,1 Stop,"3,016"
228,IndiGo,6E-708/943,"Mon, Feb 21",Mumbai,Lucknow,10h 40m,1 Stop,"3,016"
229,IndiGo,6E-6257/866,"Mon, Feb 21",New Delhi,Lucknow,12h 10m,1 Stop,"3,016"
230,Go First,G8-791/295,"Mon, Feb 21",Mumbai,Guwahati,5h 55m,1 Stop,"6,224"
231,Go First,G8-791/532,"Thu, Mar 24",New Delhi,Guwahati,6h 45m,1 Stop,"6,224"
232,Vistara,UK-893/860/721,"Thu, Mar 24",Mumbai,Guwahati,7h 05m,1 Stop,"8,451"
233,Air Asia,I5-722/787,"Thu, Mar 24",New Delhi,Guwahati,7h 05m,1 Stop,"8,553"
234,Air Asia,I5-722/783,"Thu, Mar 24",Mumbai,Guwahati,7h 30m,1 Stop,"8,553"
235,Air Asia,I5-1528/792,"Thu, Mar 24",New Delhi,Guwahati,8h 40m,1 Stop,"8,553"
236,Air Asia,I5-1451/792,"Thu, Mar 24",Mumbai,Guwahati,8h 45m,2 Stop(s),"8,553"
237,Air Asia,I5-741/776,"Thu, Mar 24",New Delhi,Guwahati,10h 10m,1 Stop,"8,553"
238,Air Asia,I5-749/787,"Thu, Mar 24",Mumbai,Guwahati,11h 40m,1 Stop,"8,553"
239,Air Asia,I5-996/787,"Thu, Mar 24",New Delhi,Guwahati,12h 30m,Non Stop,"8,553"
240,SpiceJet,SG-438,"Thu, Mar 24",Mumbai,Mumbai,18h 15m,Non Stop,"2,200"
241,SpiceJet,SG-635,"Wed, Feb 16",Goa,Mumbai,20h 35m,Non Stop,"2,200"
242,Air Asia,I5-941,"Wed, Feb 16",Mumbai,Mumbai,21h 40m,Non Stop,"2,201"
243,Go First,G8-385,"Wed, Feb 16",Goa,Mumbai,23h 35m,Non Stop,"2,201"
244,Go First,G8-395,"Wed, Feb 16",Mumbai,Mumbai,24h 35m,Non Stop,"2,201"
245,Air Asia,I5-1561,"Wed, Feb 16",Goa,Mumbai,12h 40m,1 Stop,"2,201"
246,Go First,G8-399,"Wed, Feb 16",Mumbai,Mumbai,14h 25m,1 Stop,"2,201"
247,Air Asia,I5-339,"Wed, Feb 16",Goa,Mumbai,14h 25m,1 Stop,"2,201"
248,Go First,G8-320,"Wed, Feb 16",Mumbai,Mumbai,16h 10m,1 Stop,"2,201"
249,Air Asia,I5-334,"Wed, Feb 16",Goa,Mumbai,9h 15m,1 Stop,"2,201"
250,Air India,9I-9547,"Wed, Feb 16",Mumbai,Goa,17h 30m,1 Stop,"2,292"
251,Air Asia,I5-972,"Tue, Feb 15",Goa,Goa,1h 35m,1 Stop,"2,292"
252,IndiGo,6E-886/905,"Tue, Feb 15",Mumbai,Goa,1h 35m,1 Stop,"2,292"
253,Air Asia,I5-1983/972,"Tue, Feb 15",Goa,Goa,1h 40m,1 Stop,"2,292"
254,IndiGo,6E-484/905,"Tue, Feb 15",Mumbai,Goa,1h 40m,1 Stop,"2,292"
255,IndiGo,6E-6257/905,"Tue, Feb 15",Goa,Goa,1h 45m,1 Stop,"2,292"
256,IndiGo,6E-886/793,"Tue, Feb 15",Mumbai,Goa,1h 50m,Non Stop,"2,292"
257,Air Asia,I5-1576/1517,"Tue, Feb 15",Goa,Goa,5h 10m,Non Stop,"2,292"
258,IndiGo,6E-484/793,"Tue, Feb 15",Mumbai,Goa,6h 30m,Non Stop,"2,292"
